"time","Cp_p[1]","Cp_p[2]","Cp_p[3]","Cp_pc[1,1]","Cp_pc[1,2]","Cp_pc[1,3]","Cp_pc[2,1]","Cp_pc[2,2]","Cp_pc[2,3]","Cp_pc[3,1]","Cp_pc[3,2]","Cp_pc[3,3]","Cpres_p[1]","Cpres_p[2]","Cpres_p[3]","F_p[1]","F_p[2]","F_p[3]","F_pc[1,1]","F_pc[1,2]","F_pc[1,3]","F_pc[2,1]","F_pc[2,2]","F_pc[2,3]","F_pc[3,1]","F_pc[3,2]","F_pc[3,3]","Fm_p[1]","Fm_p[2]","Fm_p[3]","Fm_pc[1,1]","Fm_pc[1,2]","Fm_pc[1,3]","Fm_pc[2,1]","Fm_pc[2,2]","Fm_pc[2,3]","Fm_pc[3,1]","Fm_pc[3,2]","Fm_pc[3,3]","H_p[1]","H_p[2]","H_p[3]","H_pc[1,1]","H_pc[1,2]","H_pc[1,3]","H_pc[2,1]","H_pc[2,2]","H_pc[2,3]","H_pc[3,1]","H_pc[3,2]","H_pc[3,3]","Hres_p[1]","Hres_p[2]","Hres_p[3]","K_c[1]","K_c[2]","K_c[3]","MW_p[1]","MW_p[2]","MW_p[3]","P","Pbubl","Pdew","Pvap_c[1]","Pvap_c[2]","Pvap_c[3]","S_p[1]","S_p[2]","S_p[3]","S_pc[1,1]","S_pc[1,2]","S_pc[1,3]","S_pc[2,1]","S_pc[2,2]","S_pc[2,3]","S_pc[3,1]","S_pc[3,2]","S_pc[3,3]","Sres_p[1]","Sres_p[2]","Sres_p[3]","T","gma_c[1]","gma_c[2]","gma_c[3]","gmabubl_c[1]","gmabubl_c[2]","gmabubl_c[3]","gmadew_c[1]","gmadew_c[2]","gmadew_c[3]","philiqbubl_c[1]","philiqbubl_c[2]","philiqbubl_c[3]","phivapdew_c[1]","phivapdew_c[2]","phivapdew_c[3]","x_pc[1,1]","x_pc[1,2]","x_pc[1,3]","x_pc[2,1]","x_pc[2,2]","x_pc[2,3]","x_pc[3,1]","x_pc[3,2]","x_pc[3,3]","xliq","xm_pc[1,1]","xm_pc[1,2]","xm_pc[1,3]","xm_pc[2,1]","xm_pc[2,2]","xm_pc[2,3]","xm_pc[3,1]","xm_pc[3,2]","xm_pc[3,3]","xmliq","xmvap","xvap","In.F","In.H","In.P","In.S","In.T","In.x_pc[1,1]","In.x_pc[1,2]","In.x_pc[1,3]","In.x_pc[2,1]","In.x_pc[2,2]","In.x_pc[2,3]","In.x_pc[3,1]","In.x_pc[3,2]","In.x_pc[3,3]","In.xvap","Out.F","Out.H","Out.P","Out.S","Out.T","Out.x_pc[1,1]","Out.x_pc[1,2]","Out.x_pc[1,3]","Out.x_pc[2,1]","Out.x_pc[2,2]","Out.x_pc[2,3]","Out.x_pc[3,1]","Out.x_pc[3,2]","Out.x_pc[3,3]","Out.xvap"
0.404,98.75916405175657,102.2877748580496,54.2818301713917,32.59052413707967,32.59052413707967,33.57811577759723,94.43053619749418,138.306382762559,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056616,2.304063789433839,10.34426646,10.34426646,10.65772908,9.139503831788216,9.599153339757443,10.3035410390205,1.204762628211784,0.7451131202425567,0.3541880409794989,999.9999868332601,920.6896688053981,79.31031802786198,331.45098591132,476.55001154574,191.9989893762,292.847981778158,442.2233952092857,185.6182918179543,38.60300413316197,34.32661633645435,6.380697558245672,-33043.17310812735,-35883.38170601587,2757.008048966852,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968257,-35186.8621065534,-39942.50876506486,2465.668040843966,3686.308397091469,1793.005065692722,0,0,0,1.66155168221068,0.9784176261659209,0.4332937000485478,31.90173,31.70178999985036,34.42192806968696,101325,103200.498370038,76727.88402331749,168356.7241999971,99138.16597126193,43903.4841574191,-84.39,-92.41373611299568,16.74736245130509,-27.8487,-27.8487,-28.6926,-81.0187353694886,-90.10677906987945,-104.6706375884543,12.99350958311175,20.74615474385532,21.10366155399072,0,0,0,351.2481745351079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.3233908382482969,0.1537231923021241,0.9264963781189016,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402141,0.4803175382461649,0.201607879513621,0.4867336948466227,0.4328140044072865,0.08045230074609097,0.9206896809278797,0.07931031907212033,0.07350362188109828,31.346262,-33043.17310812735,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.3233908382482969,0.1537231923021241,0.07350362188109828,31.346262,-33043.17310812735,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.3233908382482969,0.1537231923021241,0.07350362188109828
0.406,98.75916405175667,102.2877748580497,54.28183017139172,32.5905241370797,32.5905241370797,33.57811577759727,94.43053619749429,138.3063827625591,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056617,2.304063789433827,10.34426646,10.34426646,10.65772908,9.139503831788222,9.599153339757448,10.3035410390205,1.204762628211777,0.7451131202425527,0.3541880409794968,999.9999868332601,920.6896688053986,79.31031802786156,331.45098591132,476.55001154574,191.9989893762,292.8479817781582,442.2233952092859,185.6182918179544,38.60300413316176,34.32661633645417,6.380697558245635,-33043.17310812735,-35883.38170601585,2757.008048966856,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968256,-35186.86210655338,-39942.50876506486,2465.668040843969,3686.308397091474,1793.005065692724,0,0,0,1.661551682210683,0.9784176261659346,0.4332937000485478,31.90173,31.70178999985036,34.42192806968697,101325,103200.4983700385,76727.88402331779,168356.7241999974,99138.16597126333,43903.4841574191,-84.39,-92.41373611299564,16.7473624513051,-27.8487,-27.8487,-28.6926,-81.01873536948858,-90.10677906987937,-104.6706375884543,12.99350958311176,20.74615474385534,21.10366155399073,0,0,0,351.248174535108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167884,0.522885969449579,0.323390838248297,0.1537231923021241,0.9264963781189021,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402141,0.4803175382461649,0.2016078795136209,0.4867336948466227,0.4328140044072865,0.08045230074609093,0.9206896809278802,0.0793103190721199,0.07350362188109787,31.346262,-33043.17310812735,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167884,0.522885969449579,0.323390838248297,0.1537231923021241,0.07350362188109787,31.346262,-33043.17310812735,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167884,0.522885969449579,0.323390838248297,0.1537231923021241,0.07350362188109787
0.408,98.75916405175666,102.2877748580496,54.2818301713917,32.5905241370797,32.5905241370797,33.57811577759727,94.43053619749412,138.3063827625591,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056619,2.304063789433808,10.34426646,10.34426646,10.65772908,9.139503831788232,9.599153339757454,10.30354103902051,1.204762628211769,0.7451131202425458,0.3541880409794934,999.9999868332601,920.6896688053993,79.31031802786092,331.45098591132,476.55001154574,191.9989893762,292.8479817781586,442.2233952092861,185.6182918179544,38.6030041331615,34.32661633645385,6.380697558245574,-33043.17310812738,-35883.38170601585,2757.008048966861,-10904.24712568203,-10904.24712568203,-11234.67885676331,-32038.82028968255,-35186.86210655336,-39942.50876506486,2465.668040843974,3686.308397091482,1793.005065692728,0,0,0,1.661551682210695,0.9784176261659225,0.4332937000485508,31.90173,31.70178999985036,34.42192806968696,101325,103200.4983700387,76727.88402331797,168356.7241999987,99138.1659712621,43903.48415741941,-84.39,-92.41373611299557,16.74736245130511,-27.8487,-27.8487,-28.6926,-81.01873536948851,-90.10677906987927,-104.6706375884542,12.99350958311177,20.74615474385536,21.10366155399075,0,0,0,351.2481745351081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3146973850093441,0.3305243380738677,0.3547782769167883,0.5228859694495795,0.3233908382482965,0.1537231923021238,0.9264963781189027,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402142,0.4803175382461648,0.2016078795136209,0.4867336948466233,0.432814004407286,0.0804523007460908,0.9206896809278808,0.07931031907211926,0.07350362188109728,31.346262,-33043.17310812738,101325,-84.39,351.2481745351081,0.33,0.33,0.34,0.3146973850093441,0.3305243380738677,0.3547782769167883,0.5228859694495795,0.3233908382482965,0.1537231923021238,0.07350362188109728,31.346262,-33043.17310812738,101325,-84.39,351.2481745351081,0.33,0.33,0.34,0.3146973850093441,0.3305243380738677,0.3547782769167883,0.5228859694495795,0.3233908382482965,0.1537231923021238,0.07350362188109728
0.41,98.75916405175667,102.2877748580497,54.28183017139176,32.5905241370797,32.5905241370797,33.57811577759727,94.43053619749429,138.3063827625591,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056617,2.304063789433832,10.34426646,10.34426646,10.65772908,9.139503831788222,9.599153339757443,10.30354103902051,1.204762628211778,0.7451131202425575,0.3541880409794961,999.9999868332601,920.6896688053982,79.3103180278618,331.45098591132,476.55001154574,191.9989893762,292.8479817781582,442.2233952092857,185.6182918179544,38.6030041331618,34.32661633645439,6.380697558245622,-33043.17310812735,-35883.38170601586,2757.008048966858,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968256,-35186.86210655338,-39942.50876506486,2465.668040843969,3686.308397091474,1793.005065692724,0,0,0,1.661551682210683,0.9784176261659346,0.4332937000485478,31.90173,31.70178999985035,34.42192806968699,101325,103200.4983700385,76727.88402331779,168356.7241999974,99138.16597126333,43903.4841574191,-84.39,-92.41373611299565,16.74736245130511,-27.8487,-27.8487,-28.6926,-81.01873536948858,-90.10677906987935,-104.6706375884543,12.99350958311177,20.7461547438553,21.10366155399076,0,0,0,351.248174535108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.314697385009344,0.3305243380738676,0.3547782769167886,0.5228859694495783,0.3233908382482983,0.1537231923021234,0.9264963781189018,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402142,0.4803175382461648,0.2016078795136211,0.4867336948466217,0.432814004407288,0.08045230074609051,0.9206896809278798,0.07931031907212013,0.07350362188109803,31.346262,-33043.17310812735,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.314697385009344,0.3305243380738676,0.3547782769167886,0.5228859694495783,0.3233908382482983,0.1537231923021234,0.07350362188109803,31.346262,-33043.17310812735,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.314697385009344,0.3305243380738676,0.3547782769167886,0.5228859694495783,0.3233908382482983,0.1537231923021234,0.07350362188109803
0.412,98.75916405175657,102.2877748580496,54.2818301713917,32.59052413707967,32.59052413707967,33.57811577759723,94.43053619749418,138.306382762559,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056616,2.304063789433841,10.34426646,10.34426646,10.65772908,9.139503831788218,9.599153339757443,10.3035410390205,1.204762628211784,0.7451131202425572,0.3541880409794991,999.9999868332601,920.6896688053981,79.31031802786204,331.45098591132,476.55001154574,191.9989893762,292.8479817781581,442.2233952092857,185.6182918179543,38.603004133162,34.32661633645436,6.380697558245676,-33043.17310812735,-35883.38170601587,2757.008048966852,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968257,-35186.8621065534,-39942.50876506486,2465.668040843966,3686.308397091469,1793.005065692722,0,0,0,1.66155168221068,0.9784176261659209,0.4332937000485478,31.90173,31.70178999985036,34.42192806968696,101325,103200.498370038,76727.88402331749,168356.7241999971,99138.16597126193,43903.4841574191,-84.39,-92.41373611299568,16.74736245130509,-27.8487,-27.8487,-28.6926,-81.0187353694886,-90.10677906987945,-104.6706375884543,12.99350958311175,20.74615474385532,21.10366155399072,0,0,0,351.2481745351079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.3233908382482969,0.1537231923021241,0.9264963781189016,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402141,0.4803175382461649,0.201607879513621,0.4867336948466227,0.4328140044072864,0.08045230074609096,0.9206896809278797,0.07931031907212038,0.07350362188109832,31.346262,-33043.17310812735,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.3233908382482969,0.1537231923021241,0.07350362188109832,31.346262,-33043.17310812735,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.3233908382482969,0.1537231923021241,0.07350362188109832
0.414,98.75916405175657,102.2877748580496,54.28183017139172,32.59052413707967,32.59052413707967,33.57811577759723,94.43053619749418,138.306382762559,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056616,2.304063789433842,10.34426646,10.34426646,10.65772908,9.139503831788216,9.599153339757443,10.3035410390205,1.204762628211785,0.7451131202425576,0.3541880409794993,999.9999868332601,920.6896688053981,79.31031802786207,331.45098591132,476.55001154574,191.9989893762,292.847981778158,442.2233952092857,185.6182918179543,38.60300413316201,34.32661633645439,6.38069755824568,-33043.17310812735,-35883.38170601587,2757.008048966852,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968257,-35186.8621065534,-39942.50876506486,2465.668040843966,3686.308397091469,1793.005065692722,0,0,0,1.66155168221068,0.9784176261659209,0.4332937000485478,31.90173,31.70178999985036,34.42192806968696,101325,103200.498370038,76727.88402331749,168356.7241999971,99138.16597126193,43903.4841574191,-84.39,-92.41373611299568,16.74736245130509,-27.8487,-27.8487,-28.6926,-81.0187353694886,-90.10677906987945,-104.6706375884543,12.99350958311175,20.74615474385532,21.10366155399072,0,0,0,351.2481745351079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.323390838248297,0.1537231923021241,0.9264963781189016,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402141,0.4803175382461649,0.201607879513621,0.4867336948466227,0.4328140044072865,0.08045230074609099,0.9206896809278797,0.07931031907212041,0.07350362188109835,31.346262,-33043.17310812735,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.323390838248297,0.1537231923021241,0.07350362188109835,31.346262,-33043.17310812735,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.323390838248297,0.1537231923021241,0.07350362188109835
0.416,98.75916405175668,102.2877748580497,54.28183017139172,32.5905241370797,32.5905241370797,33.57811577759728,94.43053619749429,138.3063827625591,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056618,2.304063789433824,10.34426646,10.34426646,10.65772908,9.139503831788225,9.59915333975745,10.30354103902051,1.204762628211776,0.7451131202425521,0.3541880409794965,999.9999868332601,920.6896688053987,79.31031802786148,331.45098591132,476.55001154574,191.9989893762,292.8479817781583,442.223395209286,185.6182918179544,38.60300413316173,34.32661633645413,6.380697558245629,-33043.17310812736,-35883.38170601585,2757.008048966856,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968256,-35186.86210655338,-39942.50876506486,2465.668040843969,3686.308397091474,1793.005065692724,0,0,0,1.661551682210683,0.9784176261659346,0.4332937000485478,31.90173,31.70178999985036,34.42192806968697,101325,103200.4983700385,76727.88402331779,168356.7241999974,99138.16597126333,43903.4841574191,-84.39,-92.41373611299565,16.74736245130511,-27.8487,-27.8487,-28.6926,-81.01873536948858,-90.10677906987937,-104.6706375884543,12.99350958311176,20.74615474385534,21.10366155399073,0,0,0,351.248174535108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.314697385009344,0.3305243380738677,0.3547782769167884,0.5228859694495791,0.323390838248297,0.1537231923021241,0.9264963781189022,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402142,0.4803175382461649,0.2016078795136209,0.4867336948466227,0.4328140044072865,0.08045230074609093,0.9206896809278803,0.07931031907211983,0.0735036218810978,31.346262,-33043.17310812736,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.314697385009344,0.3305243380738677,0.3547782769167884,0.5228859694495791,0.323390838248297,0.1537231923021241,0.0735036218810978,31.346262,-33043.17310812736,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.314697385009344,0.3305243380738677,0.3547782769167884,0.5228859694495791,0.323390838248297,0.1537231923021241,0.0735036218810978
0.418,98.75916405175666,102.2877748580496,54.28183017139172,32.5905241370797,32.5905241370797,33.57811577759727,94.43053619749412,138.3063827625591,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056619,2.304063789433811,10.34426646,10.34426646,10.65772908,9.139503831788229,9.599153339757454,10.30354103902051,1.20476262821177,0.7451131202425467,0.354188040979494,999.9999868332601,920.689668805399,79.31031802786102,331.45098591132,476.55001154574,191.9989893762,292.8479817781584,442.2233952092861,185.6182918179544,38.60300413316153,34.32661633645389,6.380697558245584,-33043.17310812737,-35883.38170601585,2757.008048966861,-10904.24712568203,-10904.24712568203,-11234.67885676331,-32038.82028968255,-35186.86210655336,-39942.50876506486,2465.668040843974,3686.308397091482,1793.005065692728,0,0,0,1.661551682210695,0.9784176261659225,0.4332937000485508,31.90173,31.70178999985036,34.42192806968697,101325,103200.4983700387,76727.88402331797,168356.7241999987,99138.1659712621,43903.48415741941,-84.39,-92.41373611299557,16.74736245130512,-27.8487,-27.8487,-28.6926,-81.01873536948851,-90.10677906987927,-104.6706375884542,12.99350958311177,20.74615474385536,21.10366155399075,0,0,0,351.2481745351081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.314697385009344,0.3305243380738677,0.3547782769167884,0.5228859694495795,0.3233908382482966,0.1537231923021239,0.9264963781189025,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402142,0.4803175382461649,0.2016078795136209,0.4867336948466231,0.432814004407286,0.08045230074609083,0.9206896809278806,0.07931031907211936,0.07350362188109735,31.346262,-33043.17310812737,101325,-84.39,351.2481745351081,0.33,0.33,0.34,0.314697385009344,0.3305243380738677,0.3547782769167884,0.5228859694495795,0.3233908382482966,0.1537231923021239,0.07350362188109735,31.346262,-33043.17310812737,101325,-84.39,351.2481745351081,0.33,0.33,0.34,0.314697385009344,0.3305243380738677,0.3547782769167884,0.5228859694495795,0.3233908382482966,0.1537231923021239,0.07350362188109735
0.42,98.75916405175666,102.2877748580497,54.28183017139177,32.5905241370797,32.5905241370797,33.57811577759727,94.43053619749429,138.3063827625591,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056617,2.304063789433828,10.34426646,10.34426646,10.65772908,9.139503831788222,9.599153339757445,10.30354103902051,1.204762628211776,0.7451131202425564,0.3541880409794955,999.9999868332601,920.6896688053984,79.31031802786167,331.45098591132,476.55001154574,191.9989893762,292.8479817781582,442.2233952092857,185.6182918179544,38.60300413316174,34.32661633645433,6.380697558245611,-33043.17310812736,-35883.38170601586,2757.008048966858,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968256,-35186.86210655338,-39942.50876506486,2465.668040843969,3686.308397091474,1793.005065692724,0,0,0,1.661551682210683,0.9784176261659346,0.4332937000485478,31.90173,31.70178999985035,34.421928069687,101325,103200.4983700385,76727.88402331779,168356.7241999974,99138.16597126333,43903.4841574191,-84.39,-92.41373611299565,16.74736245130511,-27.8487,-27.8487,-28.6926,-81.01873536948858,-90.10677906987935,-104.6706375884543,12.99350958311177,20.7461547438553,21.10366155399076,0,0,0,351.248174535108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.314697385009344,0.3305243380738676,0.3547782769167885,0.5228859694495783,0.3233908382482983,0.1537231923021234,0.926496378118902,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402142,0.4803175382461648,0.201607879513621,0.4867336948466217,0.432814004407288,0.08045230074609051,0.9206896809278799,0.07931031907212001,0.07350362188109791,31.346262,-33043.17310812736,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.314697385009344,0.3305243380738676,0.3547782769167885,0.5228859694495783,0.3233908382482983,0.1537231923021234,0.07350362188109791,31.346262,-33043.17310812736,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.314697385009344,0.3305243380738676,0.3547782769167885,0.5228859694495783,0.3233908382482983,0.1537231923021234,0.07350362188109791
0.422,98.75916405175658,102.2877748580496,54.28183017139173,32.59052413707968,32.59052413707968,33.57811577759724,94.43053619749418,138.306382762559,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056616,2.304063789433844,10.34426646,10.34426646,10.65772908,9.139503831788215,9.599153339757443,10.3035410390205,1.204762628211786,0.7451131202425583,0.3541880409794997,999.9999868332601,920.689668805398,79.31031802786215,331.45098591132,476.55001154574,191.9989893762,292.847981778158,442.2233952092857,185.6182918179543,38.60300413316205,34.32661633645442,6.380697558245687,-33043.17310812735,-35883.38170601587,2757.008048966853,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968257,-35186.8621065534,-39942.50876506486,2465.668040843966,3686.308397091469,1793.005065692722,0,0,0,1.66155168221068,0.9784176261659209,0.4332937000485478,31.90173,31.70178999985036,34.42192806968697,101325,103200.498370038,76727.88402331749,168356.7241999971,99138.16597126193,43903.4841574191,-84.39,-92.41373611299568,16.7473624513051,-27.8487,-27.8487,-28.6926,-81.0187353694886,-90.10677906987945,-104.6706375884543,12.99350958311175,20.74615474385532,21.10366155399072,0,0,0,351.2481745351079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167886,0.522885969449579,0.323390838248297,0.1537231923021242,0.9264963781189015,0.331450990275449,0.4765500178203502,0.1919989919042008,0.318074582240214,0.4803175382461649,0.2016078795136211,0.4867336948466227,0.4328140044072865,0.08045230074609097,0.9206896809278796,0.07931031907212049,0.07350362188109842,31.346262,-33043.17310812735,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167886,0.522885969449579,0.323390838248297,0.1537231923021242,0.07350362188109842,31.346262,-33043.17310812735,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167886,0.522885969449579,0.323390838248297,0.1537231923021242,0.07350362188109842
0.424,98.75916405175657,102.2877748580496,54.28183017139172,32.59052413707967,32.59052413707967,33.57811577759723,94.43053619749418,138.306382762559,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056616,2.304063789433837,10.34426646,10.34426646,10.65772908,9.139503831788218,9.599153339757445,10.3035410390205,1.204762628211782,0.7451131202425562,0.3541880409794986,999.9999868332601,920.6896688053982,79.31031802786191,331.45098591132,476.55001154574,191.9989893762,292.8479817781581,442.2233952092857,185.6182918179544,38.60300413316193,34.32661633645432,6.380697558245667,-33043.17310812736,-35883.38170601587,2757.008048966852,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968257,-35186.8621065534,-39942.50876506486,2465.668040843966,3686.308397091469,1793.005065692722,0,0,0,1.66155168221068,0.9784176261659209,0.4332937000485478,31.90173,31.70178999985036,34.42192806968696,101325,103200.498370038,76727.88402331749,168356.7241999971,99138.16597126193,43903.4841574191,-84.39,-92.41373611299568,16.74736245130509,-27.8487,-27.8487,-28.6926,-81.0187353694886,-90.10677906987945,-104.6706375884543,12.99350958311175,20.74615474385532,21.10366155399072,0,0,0,351.2481745351079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.323390838248297,0.1537231923021241,0.9264963781189017,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402141,0.4803175382461649,0.201607879513621,0.4867336948466226,0.4328140044072865,0.08045230074609097,0.9206896809278798,0.07931031907212026,0.0735036218810982,31.346262,-33043.17310812736,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.323390838248297,0.1537231923021241,0.0735036218810982,31.346262,-33043.17310812736,101325,-84.39,351.2481745351079,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167885,0.5228859694495789,0.323390838248297,0.1537231923021241,0.0735036218810982
0.426,98.75916405175666,102.2877748580497,54.28183017139172,32.5905241370797,32.5905241370797,33.57811577759727,94.43053619749429,138.3063827625591,75.70110174468606,48.33854394107331,73.56868943921467,33.92359692971461,0,0,0,31.346262,29.04219821056617,2.304063789433828,10.34426646,10.34426646,10.65772908,9.13950383178822,9.599153339757446,10.3035410390205,1.204762628211778,0.7451131202425533,0.3541880409794971,999.9999868332601,920.6896688053985,79.31031802786163,331.45098591132,476.55001154574,191.9989893762,292.8479817781582,442.2233952092858,185.6182918179543,38.6030041331618,34.32661633645419,6.380697558245641,-33043.17310812735,-35883.38170601585,2757.008048966856,-10904.24712568203,-10904.24712568203,-11234.6788567633,-32038.82028968256,-35186.86210655338,-39942.50876506486,2465.668040843969,3686.308397091474,1793.005065692724,0,0,0,1.661551682210683,0.9784176261659346,0.4332937000485478,31.90173,31.70178999985036,34.42192806968697,101325,103200.4983700385,76727.88402331779,168356.7241999974,99138.16597126333,43903.4841574191,-84.39,-92.41373611299564,16.7473624513051,-27.8487,-27.8487,-28.6926,-81.01873536948858,-90.10677906987937,-104.6706375884543,12.99350958311176,20.74615474385534,21.10366155399073,0,0,0,351.248174535108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167884,0.522885969449579,0.323390838248297,0.1537231923021241,0.926496378118902,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3180745822402141,0.4803175382461648,0.2016078795136209,0.4867336948466227,0.4328140044072864,0.08045230074609093,0.9206896809278801,0.07931031907211997,0.07350362188109792,31.346262,-33043.17310812735,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167884,0.522885969449579,0.323390838248297,0.1537231923021241,0.07350362188109792,31.346262,-33043.17310812735,101325,-84.39,351.248174535108,0.33,0.33,0.34,0.3146973850093439,0.3305243380738677,0.3547782769167884,0.522885969449579,0.323390838248297,0.1537231923021241,0.07350362188109792
